Stationscode,Stationsname,Stationsumgebung,Art der Station,Gemeinde,Jahr,NO2
DEBB044,"Cottbus, Bahnhofstr.",städtisches Gebiet,Verkehr,Cottbus,2015,35
DEBB045,"Frankfurt (Oder), Leipziger Str.",städtisches Gebiet,Verkehr,Frankfurt (Oder),2015,37
DEBB049,"Brandenburg, Neuendorfer Str.",städtisches Gebiet,Verkehr,Brandenburg an der Havel,2015,26
DEBB054,"Potsdam, Zeppelinstr.",städtisches Gebiet,Verkehr,Potsdam,2015,kein Wert verfügbar
DEBB060,"Eberswalde, Breite Straße",städtisches Gebiet,Verkehr,Eberswalde,2015,27
DEBB068,"Bernau, Lohmühlenstr.",städtisches Gebiet,Verkehr,Bernau bei Berlin,2015,28
DEBB073,"Potsdam, Großbeerenstr.",städtisches Gebiet,Verkehr,Potsdam,2015,42
DEBB087,"Cottbus, W.-Külz-Str.",städtisches Gebiet,Verkehr,Cottbus,2015,25
DEBB126,"Oranienburg, Bernauer Str.",städtisches Gebiet,Verkehr,Oranienburg,2015,kein Wert verfügbar
DEBE061,Berlin Schildhornstraße,städtisches Gebiet,Verkehr,Berlin,2015,48
DEBE063,Berlin Silbersteinstraße,städtisches Gebiet,Verkehr,Berlin,2015,52
DEBE064,Berlin Karl-Marx-Straße,städtisches Gebiet,Verkehr,Berlin,2015,52
DEBE065,Berlin Frankfurter Allee,städtisches Gebiet,Verkehr,Berlin,2015,41
DEBE067,Berlin Hardenbergplatz,städtisches Gebiet,Verkehr,Berlin,2015,53
DEBE069,Berlin Mariendorfer Damm,städtisches Gebiet,Verkehr,Berlin,2015,49
DEBE082,Berlin Leipziger Straße,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE083,Berlin Kantstraße,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE084,Berlin Hauptstraße,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE085,Berlin Herrmannstraße,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE086,Berlin Sonnenallee,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE092,Berlin Spandauer Damm,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE096,Berlin Landsberger Allee,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE097,Berlin Herrmannplatz,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE121,Berlin Mehringdamm,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE125,Berlin Leipziger Straße (MC),städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE126,Berlin Karl-Marx-Straße II,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBE127,Berlin Silbersteinstraße 5,städtisches Gebiet,Verkehr,Berlin,2015,kein Wert verfügbar
DEBW080,Karlsruhe Reinhold-Frank-Straße,städtisches Gebiet,Verkehr,Karlsruhe,2015,45
DEBW098,Mannheim Friedrichsring,städtisches Gebiet,Verkehr,Mannheim,2015,47
